model,seed,valence_ccc,arousal_ccc,mean_ccc
dual,42,0.2062423974275589,0.6811841726303101,0.4437132850289345
salience,42,0.19778841733932495,0.7449107766151428,0.4713495969772339
dual_split,42,0.282929,0.737934,0.510432
dual,1337,0.3285711407661438,0.7204200029373169,0.5244955718517303
salience,1337,0.2530798017978668,0.7294747829437256,0.4912772923707962
dual_split,1337,0.30398690700531006,0.736075222492218,0.520031064748764
dual,2026,0.27455970644950867,0.7566445469856262,0.5156021267175674
salience,2026,0.18197225034236908,0.7147558927536011,0.4483640715479851
dual_split,2026,0.19477583467960358,0.6792083382606506,0.4369920864701271
dual,31415,0.26468414068222046,0.7012859582901001,0.4829850494861603
salience,31415,0.2657834589481354,0.7466487288475037,0.5062160938978195
dual_split,31415,0.2603442072868347,0.7295040488243103,0.4949241280555725
